# mrk;kap;num;dos
akord.inter0o.konveneco;interakordo;2;NULL
akord.inter0o.samopinieco;interakordo;1;NULL
akord.mal0a;malakorda;;NULL
akord.mal0a.KOMUNE;malakorda;;NULL
akord.mal0ekun;malakorde kun;;NULL
akord.mal0ekun.KOMUNE;malakorde kun;;NULL
akord.mal0i;malakordi;;NULL
akord.mal0i.KOMUNE;malakordi;;NULL
akord.mal0igebla;malakordigebla;;NULL
akord.mal0igebla.KOMUNE;malakordigebla;;NULL
akord.mal0o;malakordo;;NULL
akord.mal0o.malsamopinieco;malakordo;;NULL
akord.mis0o;misakordo;;NULL
akord.mis0o.KOMUNE;misakordo;;NULL
akord.ne0igebla;neakordigebla;;NULL
akord.ne0igebla.KOMUNE;neakordigebla;;NULL
akord.veni_en_0on;veni en akordon;;NULL
akord.veni_en_0on.KOMUNE;veni en akordon;;NULL
akr.0ajxo;akraĵo;;NULL
akr.0ajxo.akuta;akraĵo;2;NULL
akr.0ajxo.trancxrando;akraĵo;1;NULL
akr.0igi;akrigi;;NULL
akr.0igi.FIG;akrigi;2;NULL
akr.0igi.KOMUNE;akrigi;1;NULL
akr.0igilo;akrigilo;;NULL
akr.0igilo.KOMUNE;akrigilo;;NULL
akr.0igisto;akrigisto;;NULL
akr.0igisto.KOMUNE;akrigisto;;NULL
akr.0igxi;akriĝi;;NULL
akr.0igxi.KOMUNE;akriĝi;;NULL
akr.for0igi;forakrigi;;NULL
akr.mal0a;malakra;;NULL
akr.mal0a.netrancxa;malakra;;NULL
akr.mal0igi;malakrigi;;NULL
akr.mal0igi.KOMUNE;malakrigi;;NULL
akr.mal0igxi;malakriĝi;;NULL
akr.mal0igxi.KOMUNE;malakriĝi;;NULL
akr1.0o;Akro;;NULL
akre.0o;akreo;;NULL
akre.0o;akro;;NULL
akre.0o.MEZ;akreo;;NULL
akre.0o.MEZ;akro;;NULL
akreci.0o;akrecio;;NULL
akreci.0o.SCI;akrecio;;NULL
akribi.0o;akribio;;NULL
akribi.0o.KOMUNE;akribio;;NULL
akrid.0o;akrido;;NULL
akrid.0o.genro;akrido;2;NULL
akride.0oj;akridedoj;;NULL
akril.0o;akrilo;;NULL
akril.0o.KEM;akrilo;;NULL
akroba.0ajxo;akrobataĵo;;NULL
akroba.0ajxo.FIG;akrobataĵo;2;NULL
akroba.0ajxo.TEA;akrobataĵo;1;NULL
akroba.0i;akrobati;;NULL
akroba.0i.TEA;akrobati;;NULL
akronicx.0o;akroniĉo;;NULL
akrostihx.0o;akrostiĥo;;NULL
aks.0a;aksa;;NULL
aks.0ingo;aksingo;;NULL
aks.grandaduon0o;granda duonakso;;NULL
aks.koordinata0o;koordinata akso;;NULL
aks.koordinata0o;koordinatakso;;NULL
aks.malgrandaduon0o;malgranda duonakso;;NULL
aks.polusa0o;polusa akso;;NULL
aks.rotacia0o;rotacia akso;;NULL
aks.simetri0o;simetriakso;;NULL
aks.simetri0o.de_figuro;simetriakso;2;NULL
aks.simetri0o.de_simetrio;simetriakso;1;NULL
aksel.0o;akselo;;oa_4
aksel.0o;akselo;;oa_4
aksel.0o.BOT;akselo;2;oa_4
