antibiozo,(antibioz·o),,"Prefere diru 'antibiotika efiko', 'antibiotika agado', 'kontraŭbakteria agado'."
antidoto,(antidot·o),,"Prefere diru 'kontraŭveneno'; (en figura senco) prefere diru 'kontraŭrimedo', 'kuracilo'."
antifrazo,(antifraz·o),,Prefere diru 'malosignifa esprimo'.
antikristo,(anti·krist·o),,"(laŭ la intencita signifo) prefere diru 'kontraŭkristo', 'malkristo' ."
antimaterio,(antimateri·o),,"Prefere diru 'kontraŭmaterio', 'malmaterio', 'inversa materio'."
antimilitarismo,(anti·militar·ism·o),,Prefere diru 'kontraŭmilitemismo'.
antioksidanto,(antioksidant·o),,Prefere diru 'kontraŭoksidilo'.
antipatio,(antipati·o),1oa,Prefere diru 'malsimpatio'.
antisemita,(antisemit·a),zam,"Prefere diru 'kontraŭjuda', 'kontraŭŝemida'."
antisemito,(antisemit·o),zam,"Prefere diru 'kontraŭjudulo', 'kontraŭŝemidulo'. "
antisepsa,(antiseps·a),,"Prefere diru 'kontraŭinfekta', 'seninfektiga'."
antitoksino,(antitoksin·o),,Prefere diru 'kontraŭveneno'.
antitokso,(antitoks·o),,Prefere diru 'kontraŭveneno'.
antiveneno,(antivenen·o),,Prefere diru 'kontraŭ·venen·o'.
antologio,(antologi·o),2oa, ankaŭ eblas diri (elekt·it·a) 'verkaro'.
antro,(antr·o),,"Prefere diru 'kaverno', 'groto'."
antropo,(antrop·o),,"(en scienco kaj teĥniko) prefere diru 'homo', 'homsimila'."
antropogena,(antropogen·a),,"Prefere diru 'homkaŭzata', 'homkaŭzita'."
antropogenezo,(antropogenez·o),,Prefere diru 'homekesto'.
antropoida,(antropoid·a),,Prefere diru 'homsimila'.
antropologio,(antropologi·o),1oa," ankaŭ eblas diri 'homscienco', 'homesploro'."
antropologo,(antropolog·o),7oa," ankaŭ eblas diri 'antropologiisto', 'homsciencisto', 'homstudanto'."
antropometrio,(antropometri·o),,Prefere diru 'homkorpmezurado'.
antropomorfa,(antropomorf·a),,"Prefere diru 'homaspekta', 'homforma'."
antropomorfismo,(antropomorf·ism·o),,Prefere diru 'homformismo'.
antroponimio,(antroponimi·o),,Prefere diru 'homnomoscienco'.
antroponimo,(antroponim·o),,Prefere diru 'homnomo'.
anunciacio,(anunciaci·o),fun,(kristana religio) ankaŭ eblas diri 'anonco'(al Maria) .
apelo,(apel·o),,Prefere diru 'nomvoko'.
apendicito,(apendicit·o),,Prefere diru 'apendicinflamo'.
aperta,(apert·a),,"Prefere diru 'malfermita', 'subĉiela', 'publika' ."
aperti,(apert·i),,"Prefere diru 'malfermi', 'esti malfermita'."
aperturo,(apertur·o),6oa,"Prefere diru 'truo', 'malfermaĵo'."
apetito,(apetit·o),fun,(en la ĉiutaga lingvo) ankaŭ eblas diri 'manĝemo'.
aplikaĵo,(aplikaĵ·o),,"(en la senco de ""malgranda programo intalebla sur lerta poŝtelefono"") ankaŭ eblas diri 'programeto' ."
apo,(ap·o),,"Prefere diru 'aplikaĵo', 'programeto'."
apodikta,(apodikt·a),,Prefere diru 'nerefutebla'.
apokrifa,(apokrif·a),1oa,"Prefere diru 'nerekonata', 'neaŭtentika', 'falsita' , 'malvera', 'duba', 'neakceptata' ."
aposiospezo,(aposiospez·o),,Prefere diru 'frazinterrompo'.
apospiospezo,(apospiospez·o),,Prefere diru 'intenca interrompo'.
apostato,(apostat·o),zam,Prefere diru 'forlasinto de religio'; (de religi·o aŭ politik·a parti·o) prefere diru 'defalinto'.
apoteozo,(apoteoz·o),2oa," ankaŭ eblas diri 'diigo', 'glorigo', 'triumfo'. "
apozicio,(apozici·o),2oa,Prefere diru 'apudmeto'.
apreci,(aprec·i),,"Prefere diru 'ŝati', 'aprezi'."
apreti,(apret·i),,"Prefere diru 'finpretigi', 'finprilabori', 'finbonigi' , 'fintrakti', 'finpoluri'."
apreturo,(apretur·o),,Prefere diru 'finpretigilo'.
aprezi,(aprez·i),," ankaŭ eblas diri 'ŝati', 'admiri'."
aprilo,(april·o),fun, ankaŭ eblas diri 'la 4a monato'.
Aprutio,(Apruti·o),,Prefere diru 'Abruco'.
aptenodito,(aptenodit·o),,"Prefere diru 'granda pingveno', 'grandpingveno'. "
apterigo,(apterig·o),, ankaŭ eblas diri (la birdo) 'kivio'.
apunto,(apunt·o),,"(por finpagi la precizan prezon) prefere diru 'mankantaj moneroj'; (ekzemple: la pasaĝeroj devas mem havigi la apunton, aĉetante sian bileton) prefere diru 'monerprovizo'."
arakido,(arakid·o),,Prefere diru 'ternukso'.
arasao,(arasa·o),,Prefere diru 'gujaveto'.
arbedo,(arbed·o),,"Prefere diru 'trunkarbusto', 'tufarbusto'."
arealo,(are·al·o),,"Prefere diru 'vivareo', 'loĝloko'."
arĥaika,(arĥaik·a),3oa, ankaŭ eblas diri 'malnoviĝinta'.
arĥaismo,(arĥaism·o),8oa, ankaŭ eblas diri 'malnovaĵo'.
arĥeologio,(arĥeologi·o),3oa, ankaŭ eblas diri 'antikvoscienco'.
arĥi-,(arĥi-),,Prefere diru 'ĉef-'.
arĥipelago,(arĥipelag·o),3oa, ankaŭ eblas diri 'insularo'.
ariergardo,(arier·gard·o),,"(en la armea signifo) prefere diru 'malantaŭa taĉmento', 'malantaŭiranto' ."
ariero,(arier·o),,Prefere diru 'malantaŭo.'.
arierulo,(arier·ul·o),,(en piedpilkado) prefere diru 'defendanto'.
arieso,(aries·o),,Prefere diru 'virŝafo'.
