# mrk	kap	num	dos	ind	trd
c.0	co		oa_7	NULL	NULL
car.0o	caro		NULL	Zar	
cece.0o	ceceo		NULL	NULL	NULL
cece.0o	tsetseo		NULL	NULL	NULL
cece.0o.ZOO	ceceo		NULL	Tsetsefliege	
cece.0o.ZOO	tsetseo		NULL	Tsetsefliege	
ced.0ajxo	cedaĵo		NULL	Abgetretenes	
ced.0ajxo	cedaĵo		NULL	Überlassenes	
ced.0ajxo	cedaĵo		NULL	Zugeständnis	
ced.0ajxo.KOMUNE	cedaĵo		NULL	Abgetretenes	
ced.0ajxo.KOMUNE	cedaĵo		NULL	Überlassenes	
ced.0ajxo.KOMUNE	cedaĵo		NULL	Zugeständnis	
ced.0ema	cedema		NULL	nachgiebig	
ced.0ema.KOMUNE	cedema		NULL	nachgiebig	
ced.0emo	cedemo		NULL	Nachgiebigkeit	
ced.0emo.KOMUNE	cedemo		NULL	Nachgiebigkeit	
ced.0i	cedi		NULL	NULL	NULL
ced.0i.fordoni	cedi	2	NULL	abtreten	
ced.0i.fordoni	cedi	2	NULL	abgeben	
ced.0i.fordoni	cedi	2	NULL	überlassen	
ced.0i.malrezisti	cedi	1	NULL	nachgeben	
ced.0i.malrezisti	cedi	1	NULL	weichen	
ced.0o	cedo		NULL	Abtretung	
ced.0o	cedo		NULL	Überlassung	
ced.0o.KOMUNE	cedo		NULL	Abtretung	
ced.0o.KOMUNE	cedo		NULL	Überlassung	
ced.for0i	forcedi		NULL	abtreten	
ced.for0i.KOMUNE	forcedi		NULL	abtreten	
ced.mal0ema	malcedema		NULL	standhaft	
ced.mal0ema	malcedema		NULL	unbeugsam	
ced.mal0ema.KOMUNE	malcedema		NULL	standhaft	
ced.mal0ema.KOMUNE	malcedema		NULL	unbeugsam	
ced.mal0i	malcedi		NULL	widerstehen	
ced.mal0i	malcedi		NULL	behaupten	sich behaupten
ced.mal0i.KOMUNE	malcedi		NULL	widerstehen	
ced.mal0i.KOMUNE	malcedi		NULL	behaupten	sich behaupten
ced.trans0i	transcedi		NULL	überlassen	
ced.trans0i.KOMUNE	transcedi		NULL	überlassen	
cedr.0o	cedro		NULL	Zeder	
cedrat.0o	cedrato		NULL	Zitronatzitrone	
cedrat.0o	cedrato		NULL	Zedratzitrone	
cedrat.0ujo	cedratujo		NULL	Zedratbaum	
cedrat.0ujo	cedratarbo		NULL	Zedratbaum	
cefalo.0oj	cefalopodoj		NULL	Kopffüßer	
cefalotorak.0o	cefalotorako		NULL	Cephalothorax	
cefalotorak.0o.ZOO	cefalotorako		NULL	Cephalothorax	
cefe.0o	Cefeo		NULL	Kepheus	
cefe.0o.AST	Cefeo	1	NULL	Kepheus	
cefe.0o.MIT	Cefeo	2	NULL	Kepheus	
cejan.0a	cejana		NULL	NULL	NULL
cejan.0a.floro	cejana	2	NULL	NULL	NULL
cejan.0a.koloro	cejana	1	NULL	Cyan	
cejan.0o	cejano		NULL	NULL	NULL
cejan.0o.BOT	cejano	1	NULL	Kornblume	
cejan.0o.koloro	cejano	2	NULL	NULL	NULL
cejlon.0o	Cejlono		NULL	Ceylon	
cekum.0o	cekumo		NULL	Blinddarm	
cel.0a	cela		NULL	NULL	NULL
cel.0ado	celado		NULL	Zielen	das Zielen
cel.0ado.KOMUNE	celado		NULL	Zielen	das Zielen
cel.0e	cele		NULL	hin	zu etw. hin
cel.0e_al	cele al		NULL	Ziel	mit dem Ziel, ...
cel.0e_al.KOMUNE	cele al		NULL	Ziel	mit dem Ziel, ...
cel.0i	celi		ekz_28	NULL	NULL
cel.0i.porTrafi	celi	1	ekz_28	zielen	
cel.0i.porTrafi	celi	1	ekz_28	betreffen	
cel.0i.por_atingi	celi	2	ekz_28	richten	sich auf etw. richten
cel.0i.por_atingi	celi	2	ekz_28	erreichen	erreichen wollen
cel.0i.por_atingi	celi	2	ekz_28	will	will erreichen
cel.0i.por_atingi	celi	2	ekz_28	trachten	
cel.0ilo	celilo		NULL	Kimme	
cel.0ilo	celilo		NULL	Zieleinrichtung	
cel.0ilo	celilo		NULL	Zielfernrohr	
cel.0ilo	celilo		NULL	Pointer	
cel.0ilo.ARM	celilo		NULL	Kimme	
cel.0ilo.ARM	celilo		NULL	Zieleinrichtung	
cel.0ilo.ARM	celilo		NULL	Zielfernrohr	
cel.0ilo.ARM	celilo		NULL	Pointer	
cel.0o	celo		NULL	Ziel	
cel.0o	celo		NULL	Zweck	
cel.0o	celo		NULL	Bestimmung	
cel.0o.KOMUNE	celo		NULL	Ziel	
cel.0o.KOMUNE	celo		NULL	Zweck	
cel.0o.KOMUNE	celo		NULL	Bestimmung	
cel.laux0a	laŭcela		NULL	entsprechend	
cel.laux0a	laŭcela		NULL	zweckbestimmt	
cel.laux0a	laŭcela		NULL	bestimmungsgemäß	
cel.laux0a	laŭcela		NULL	zielgerecht	
cel.laux0a	laŭcela		NULL	zielgerichtet	
cel.laux0a.KOMUNE	laŭcela		NULL	entsprechend	
cel.laux0a.KOMUNE	laŭcela		NULL	zweckbestimmt	
cel.laux0a.KOMUNE	laŭcela		NULL	bestimmungsgemäß	
cel.laux0a.KOMUNE	laŭcela		NULL	zielgerecht	
cel.laux0a.KOMUNE	laŭcela		NULL	zielgerichtet	
cel.mem0a	memcela		NULL	NULL	NULL
cel.mem0a.KOMUNE	memcela		NULL	NULL	NULL
cel.sen0a	sencela		NULL	ziellos	
cel.sen0a	sencela		NULL	sinnlos	
cel.sen0a.KOMUNE	sencela		NULL	ziellos	
cel.sen0a.KOMUNE	sencela		NULL	sinnlos	
cel.sen0umi	sencelumi		NULL	NULL	NULL
cel.sen0umi.KOMUNE	sencelumi		NULL	NULL	NULL
cel.tiu0a	tiucela		NULL	bestimmt	dazu bestimmt
cel.tiu0a	tiucela		NULL	vorgesehen	dazu vorgesehen
cel.tiu0a.KOMUNE	tiucela		NULL	bestimmt	dazu bestimmt
cel.tiu0a.KOMUNE	tiucela		NULL	vorgesehen	dazu vorgesehen
cel.viv0o	vivcelo		NULL	Lebenszweck	
cel.viv0o	vivcelo		NULL	Bestimmung	
cel.viv0o	vivcelo		NULL	Berufung	
cel.viv0o.KOMUNE	vivcelo		NULL	Lebenszweck	
cel.viv0o.KOMUNE	vivcelo		NULL	Bestimmung	
cel.viv0o.KOMUNE	vivcelo		NULL	Berufung	
celadon.0a	celadona		NULL	NULL	NULL
celadon.0o	celadono		NULL	Seladon	
celakant.0o	celakanto		NULL	Quastenflosser	
celakant.0o.ZOO	celakanto		NULL	Quastenflosser	
celastr.0oj	celastracoj		NULL	Spindelbaumgewächse	
celebr.0i	celebri		NULL	zelebrieren	
celebr.0i.MOR	celebri		NULL	zelebrieren	
celeri.0o	celerio		oa_2	Sellerie	
celest.0o	celesto		NULL	Celesta	
celest.0o.MUZ	celesto		NULL	Celesta	
celesten.0o	Celesteno		NULL	Coelestin	
celesten.0o.NOM	Celesteno		NULL	Coelestin	
celiaki.0o	celiakio		NULL	Zöliakie	
celiaki.0o.MED	celiakio		NULL	Zöliakie	
celibat.0o	celibato		NULL	NULL	NULL
celibat.0o.KRI	celibato		NULL	Zölibat	
celofa.0o	celofano		NULL	Zellofan	
celoid.0o	celoidino		NULL	Celloidin	
celsi.0a	celsia		NULL	Celsius	
celsi.0o	Celsio		NULL	Celsius	Anders Celsius
celtal.0o	celtalo		NULL	NULL	NULL
celtal.0o.LIN	celtalo		NULL	Tzeltal	
celuli.0o	celulito		NULL	Zellulitis	
celuli.0o.MED	celulito		NULL	Zellulitis	
celulo.0o	celuloido		NULL	NULL	NULL
celulo.0o.KEM	celuloido		NULL	Zelluloid	
celulo1.0o	celulozo		oa_2	Zellulose	
cembr.0ejo	cembrejo		NULL	NULL	NULL
cembr.0o	cembro		NULL	Zirbelkiefer	
cembr.0o	cembro		NULL	Arve	
cembr.0o.euxropa	cembro	2	NULL	Zirbelkiefer	
cembr.0o.euxropa	cembro	2	NULL	Arve	
cembr.0o.supernocio	cembro	1	NULL	Zirbelkiefer	
cembr.0o.supernocio	cembro	1	NULL	Arve	
cembr.0oeuxropa	cembro eŭropa		NULL	NULL	NULL
cembr.0osiberia	cembro siberia		NULL	NULL	NULL
cement.0i	cementi		NULL	zementieren	
cement.0i.FIG	cementi	2	NULL	verfestigen	
cement.0i.FIG	cementi	2	NULL	zementieren	
cement.0i.KON	cementi	1	NULL	zementieren	
cement.0o	cemento		NULL	NULL	NULL
cement.0o.ANA	cemento	2	NULL	Wurzelzement	
cement.0o.KON	cemento	1	NULL	Zement	
cend.0o	cendo		NULL	Cent	
cend.0o	cendo		NULL	Eurocent	
cend.0o.EKON	cendo		NULL	Cent	
cend.0o.EKON	cendo		NULL	Eurocent	
cenobit.0o	cenobito		NULL	Klostermönch	
cenobit.0o	cenobito		NULL	Zönobit	
cenoma.0o	cenomano		NULL	Cenomanium	
cenoma.0o	cenomano		NULL	Cenoman	
cenota.0o	cenotafo		NULL	Kenotaph	Kenotaph (Scheingrab)
cenota.0o.ARKI	cenotafo		NULL	Kenotaph	Kenotaph (Scheingrab)
cens.0isto	censisto		NULL	Censor	
cens.0o	censo		NULL	Zensus	
cens.0o.financa	censo	1	NULL	Census	
cens.0o.financa	censo	1	NULL	Zensus	
cens.0o.popolnombrado	censo	2	NULL	Volkszählung	
cens.0o.popolnombrado	censo	2	NULL	Zensus	
cent.0estro	centestro		NULL	Kompaniechef	
cent.0estro.MIL	centestro		NULL	Kompaniechef	
cent.0ono	centono		NULL	Hundertstel	
cent.0uma	centuma		NULL	NULL	NULL
cent.0uma.MAT	centuma		NULL	zentesimal	
cent.el0osigno	elcentosigno		NULL	Prozentzeichen	
cent.el0osigno.MAT	elcentosigno		NULL	Prozentzeichen	
cent.po0o	pocento		NULL	NULL	NULL
cent.po0o.KOMUNE	pocento		NULL	NULL	NULL
centau.0o	centaŭro		NULL	Zentauer	
centau.0o.MIT	centaŭro		NULL	Zentauer	
centau.C0o	Centaŭro		NULL	Zentaur	
centau1.0o	centaŭreo		NULL	Flockenblume	
centav.0o	centavo		NULL	Centavo	
centez.0a	centezimala		NULL	hundertteilig	
centez.0a	centezimala		NULL	zentesimal	
centez.0a	centezimala		NULL	Zentesimal-	
centez.0a.MAT	centezimala		NULL	hundertteilig	
centez.0a.MAT	centezimala		NULL	zentesimal	
centez.0a.MAT	centezimala		NULL	Zentesimal-	
centi.0	centi-		NULL	Zenti-	
centi.0.MEZ	centi-		NULL	Zenti-	
centia.0o	centiaro		NULL	Zentiar	
centig.0o	centigramo		oa_2	Centigramm	
centil.0o	centilitro		oa_2	Zentiliter	
centim.0o	centimo		ekz_41	Centime	
centim1.0o	centimetro		NULL	Zentimeter	
centr.0a	centra		NULL	NULL	NULL
centr.0ede	centre de		NULL	NULL	NULL
centr.0ede.KOMUNE	centre de		NULL	NULL	NULL
centr.0i	centri		NULL	NULL	NULL
centr.0i	centrigi		NULL	NULL	NULL
centr.0i	alcentrigi		NULL	NULL	NULL
centr.0i	kuncentrigi		NULL	NULL	NULL
centr.0i.KOMUNE	centri		NULL	NULL	NULL
centr.0i.KOMUNE	centrigi		NULL	NULL	NULL
centr.0i.KOMUNE	alcentrigi		NULL	NULL	NULL
centr.0i.KOMUNE	kuncentrigi		NULL	NULL	NULL
centr.alto0o	altocentro		NULL	Höhenpunkt	
centr.alto0o	altocentro		NULL	Orthozentrum	
centr.alto0o.MAT	altocentro		NULL	Höhenpunkt	
centr.alto0o.MAT	altocentro		NULL	Orthozentrum	
centr.butik0o	butikcentro		NULL	NULL	NULL
centr.butik0o	butikumcentro		NULL	NULL	NULL
centr.butik0o	aĉetocentro		NULL	NULL	NULL
centr.butik0o	aĉetcentro		NULL	NULL	NULL
centr.butik0o.ARKI	butikcentro		NULL	NULL	NULL
centr.butik0o.ARKI	butikumcentro		NULL	NULL	NULL
centr.butik0o.ARKI	aĉetocentro		NULL	NULL	NULL
centr.butik0o.ARKI	aĉetcentro		NULL	NULL	NULL
centr.dis0ael0a	discentra		NULL	NULL	NULL
centr.dis0ael0a	elcentra		NULL	NULL	NULL
centr.dis0eco	discentreco		NULL	NULL	NULL
centr.dis0eco.TEK	discentreco	1	NULL	NULL	NULL
centr.dis0eco.koniko	discentreco	2	NULL	Exzentrizität	
centr.hom0ismo	homcentrismo		NULL	NULL	NULL
centr.hom0ismo.FIL	homcentrismo		NULL	NULL	NULL
centr.kun0igxi	kuncentriĝi		NULL	NULL	NULL
centr.kurbeco0o	kurbecocentro		NULL	Krümmungsmittelpunkt	
centr.kurbeco0o.de_ebena_kurbo	kurbecocentro		NULL	Krümmungsmittelpunkt	
centr.mal0a	malcentra		NULL	NULL	NULL
centr.mal0a.disa	malcentra	2	NULL	NULL	NULL
centr.mal0a.periferia	malcentra	1	NULL	NULL	NULL
centr.mem0ismo	memcentrismo		NULL	NULL	NULL
centr.mem0ismo.KOMUNE	memcentrismo		NULL	NULL	NULL
centr.pezo0o	pezocentro		NULL	NULL	NULL
centr.pezo0o.FIZ	pezocentro	1	NULL	NULL	NULL
centr.pezo0o.MAT	pezocentro	2	NULL	Schwerpunkt	Schwerpunkt (von n Punkten)
centr.rotacia0o	rotacia centro		NULL	Drehpunkt	
centr.sam0a	samcentra		oa_8	konzentrisch	
centr.sam0a	samcentra		oa_8	konzentrisch	
centr.simetri0o	simetricentro		NULL	Symmetriezentrum	
centr.simetri0o.de_figuro	simetricentro	2	NULL	Symmetriezentrum	
centr.simetri0o.de_simetrio	simetricentro	1	NULL	Symmetriezentrum	
centr.sun0a	suncentra		NULL	NULL	NULL
centr.sun0a	sunocentra		NULL	NULL	NULL
centr.sun0a.AST	suncentra		NULL	NULL	NULL
centr.sun0a.AST	sunocentra		NULL	NULL	NULL
centr.sun0ismo	suncentrismo		NULL	NULL	NULL
centr.sun0ismo	sunocentrismo		NULL	NULL	NULL
centr.sun0ismo.AST	suncentrismo		NULL	NULL	NULL
centr.sun0ismo.AST	sunocentrismo		NULL	NULL	NULL
centr.ter0a	tercentra		NULL	NULL	NULL
centr.ter0a	terocentra		NULL	NULL	NULL
centr.ter0a.AST	tercentra		NULL	NULL	NULL
centr.ter0a.AST	terocentra		NULL	NULL	NULL
centr.ter0ismo	tercentrismo		NULL	NULL	NULL
centr.ter0ismo	terocentrismo		NULL	NULL	NULL
centr.ter0ismo.AST	tercentrismo		NULL	NULL	NULL
centr.ter0ismo.AST	terocentrismo		NULL	NULL	NULL
centra.0i	centralizi		NULL	zentralisieren	
centra1.0o	centralo		oa_8	NULL	NULL
centra1.0o.ELE	centralo	2	oa_8	Kraftwerk	
centra1.0o.TEL	centralo	1	oa_8	Zentrale	
centra1.0o.oficejo	centralo	3	oa_8	Zentrale	
centra1.akvo0o	akvocentralo		NULL	Wasserkraftwerk	
centra1.akvo0o	akvoenergia centralo		NULL	Wasserkraftwerk	
centra1.akvo0o	hidroelektra centralo		NULL	Wasserkraftwerk	
centra1.atom0o	atomcentralo		NULL	Atomkraftwerk	
centra1.atom0o	nuklea centralo		NULL	Atomkraftwerk	
centra1.atom0o	atomcentralo		NULL	Kernkraftwerk	
centra1.atom0o	nuklea centralo		NULL	Kernkraftwerk	
centra1.atom0o.ELE	atomcentralo		NULL	Atomkraftwerk	
centra1.atom0o.ELE	nuklea centralo		NULL	Atomkraftwerk	
centra1.atom0o.ELE	atomcentralo		NULL	Kernkraftwerk	
centra1.atom0o.ELE	nuklea centralo		NULL	Kernkraftwerk	
centra1.biomasa_0o	biomasa centralo		NULL	Biomassekraftwerk	
centra1.elektro0o	elektrocentralo		NULL	Kraftwerk	
centra1.elektro0o.ELE	elektrocentralo		NULL	Kraftwerk	
centra1.karbo0o	karbocentralo		NULL	Kohlekraftwerk	
centra1.karbo0o.ELE	karbocentralo		NULL	Kohlekraftwerk	
centra1.sxalt0o	ŝaltcentralo		NULL	Schaltzentrale	
centra1.sxalt0o	ŝaltcentralo		NULL	Stellwerk	
centra1.varmo0o	varmocentralo		NULL	Fernwärmekraftwerk	
centra1.varmo0o	hejta centralo		NULL	Fernwärmekraftwerk	
centra1.varmo0o	varmocentralo		NULL	Heizkraftwerk	
centra1.varmo0o	hejta centralo		NULL	Heizkraftwerk	
centri.0a	centrifuga		NULL	NULL	NULL
centri.0a.BOT	centrifuga	2	NULL	NULL	NULL
centri.0a.FIZ	centrifuga	1	NULL	zentrifugal	
centri.0ilo	centrifugilo		NULL	NULL	NULL
centri.0ilo.MAS	centrifugilo		NULL	NULL	NULL
centri1.0a	centripeta		NULL	NULL	NULL
centri1.0a.BOT	centripeta	2	NULL	zentripetal	
centri1.0a.BOT	centripeta	2	NULL	botrytisch	
centri1.0a.FIZ	centripeta	1	NULL	zentripetal	
centri1.0a.FIZ	centripeta	1	NULL	Mittelpunkt	zum Mittelpunkt hinstrebend
centriol.0o	centriolo		NULL	NULL	NULL
centriol.0o.FIZL	centriolo		NULL	NULL	NULL
centuri.0estro	centuriestro		NULL	Centurio	
centuri.0o	centurio		NULL	Centuria	
centuri.0o.MIL	centurio	1	NULL	Centuria	
centuri.0o.POL	centurio	2	NULL	Centuria	
cenzor.0o	cenzoro		NULL	NULL	NULL
cenzur.0i	cenzuri		NULL	zensieren	
cenzur.0isto	cenzuristo		NULL	Zensor	
cenzur.0o	cenzuro		NULL	Zensur	Zensur (Informationskontrolle)
cep.0o	cepo		oa_8	Zwiebel	Zwiebel (Art, Gemüse)
cerambik.0o	cerambiko		NULL	Bockkäfer	
cerambik.0o.ZOO	cerambiko		NULL	Bockkäfer	
cerami.0ajxo	ceramikaĵo		NULL	Keramik	
cerami.0ajxo.VAZ	ceramikaĵo		NULL	Keramik	
cerami.0isto	ceramikisto		NULL	NULL	NULL
cerami.0isto.VAZ	ceramikisto		NULL	Töpfer	
cerami.0o	ceramiko		oa_4	NULL	NULL
cerami.0o	ceramiko		oa_4	NULL	NULL
cerami.0o.arto	ceramiko	1	oa_4	Töpferkunst	
cerami.0o.arto	ceramiko	1	oa_4	Töpferkunst	
cerami.0o.materialo	ceramiko	2	oa_4	Keramik	
cerami.0o.materialo	ceramiko	2	oa_4	Keramik	
cerami.sxton0o	ŝtonceramiko		NULL	Steinzeug	
cerami.sxton0o	ŝtonceramikaĵo		NULL	Steinzeug	
cerami.sxton0o.VAZ	ŝtonceramiko		NULL	Steinzeug	
cerami.sxton0o.VAZ	ŝtonceramikaĵo		NULL	Steinzeug	
cerast.0o	cerasto		NULL	Hornviper	
cerast.0o.ZOO	cerasto		NULL	Hornviper	
cerb.0a	cerba		NULL	NULL	NULL
cerb.0ajxo	cerbaĵo		NULL	Gehirn	
cerb.0ajxo	cerbaĵo		NULL	Hirn	
cerb.0eto	cerbeto		NULL	Kleinhirn	
cerb.0o	cerbo		NULL	NULL	NULL
cerb.0o.ANA	cerbo	1	NULL	Gehirn	
cerb.0o.FIG	cerbo	2	NULL	NULL	NULL
cerb.0ujo	cerbujo		NULL	Schädel	
cerb.0umi	cerbumi		NULL	grübeln	
cerb.0umi	cerbumi		NULL	sinnen	
cerb.en0igi	encerbigi		NULL	einhämmern	
cerb.en0igi	encerbigi		NULL	eintrichtern	
cerb.osto0o	ostocerbo		NULL	Knochenmark	
cerb.sen0ulo	sencerbulo		NULL	Hirnloser	
cerber.0o	Cerbero		NULL	NULL	NULL
cerber.0o.FIG	Cerbero		NULL	Kerberos	
cerber.0o.MIT	Cerbero		NULL	Kerberos	
cerber.0o.MIT	Cerbero		NULL	Zerberus	
cerber.0o.MIT	Cerbero		NULL	Höllenhund	
cerber.c0o	cerbero		NULL	NULL	NULL
cercis.0o	cerciso		NULL	Judasbaum	
cercis.0o.BOT	cerciso		NULL	Judasbaum	
cereal.0o	cerealo		NULL	Getreide	
cereal.0o	cerealo		NULL	Zerealien	
cereal.0o	cerealo		NULL	Cerealien	
cereal.0o.AGR	cerealo		NULL	Getreide	
cereal.0o.AGR	cerealo		NULL	Zerealien	
cereal.0o.AGR	cerealo		NULL	Cerealien	
cerebe.0o	cerebelo		NULL	Kleinhirn	
cerebe.0o	cerebelo		NULL	Cerebellum	
cerefo.0o	cerefolio		NULL	Kerbel	
cerefo.0o.BOT	cerefolio		NULL	Kerbel	
ceremo.0a	ceremonia		NULL	NULL	NULL
ceremo.0a.MOR	ceremonia		NULL	zeremoniell	
ceremo.0ema	ceremoniema		NULL	NULL	NULL
ceremo.0ema.MOR	ceremoniema		NULL	NULL	NULL
ceremo.0estro	ceremoniestro		NULL	NULL	NULL
ceremo.0estro.ajna	ceremoniestro	1	NULL	NULL	NULL
ceremo.0estro.kortega	ceremoniestro	2	NULL	Zeremonienmeister	
ceremo.0o	ceremonio		NULL	Zeremonie	
ceremo.0o.gxentilajxo	ceremonio	2	NULL	Umstände	Umstände (Höflichkeiten)
ceremo.0o.gxentilajxo	ceremonio	2	NULL	Zeremonie	
ceremo.0o.solena	ceremonio	1	NULL	Zeremonie	
ceremo.sen0a	senceremonia		NULL	ungezwungen	
ceremo.sen0a	senceremonia		NULL	ohne Förmlichkeiten	
ceremo.sen0a.MOR	senceremonia		NULL	ungezwungen	
ceremo.sen0a.MOR	senceremonia		NULL	ohne Förmlichkeiten	
ceres.0o	Cereso		NULL	Ceres	
ceres.0o.AST	Cereso	2	NULL	Ceres	
ceres.0o.MIT	Cereso	1	NULL	Ceres	
cerezi.0o	cerezino		NULL	Zeresin	
ceri.0o	cerio		NULL	Cer	
cerkop.0o	cerkopiteko		NULL	Meerkatze	
cerkop1.0oj	cerkopitekedoj		NULL	Meerkatzen	
cerkop1.0oj	cerkopitekedoj		NULL	Hundsaffen	
cert.0a	certa		ekz_19	sicher	
cert.0a	certa		akkor_de	sicher	
cert.0a	certa		ekz_19	gewiss	
cert.0a	certa		akkor_de	gewiss	
cert.0a.difinebla	certa	4	ekz_19	bestimmt	
cert.0a.difinebla	certa	4	akkor_de	bestimmt	
cert.0a.difinebla	certa	4	ekz_19	sicher	
cert.0a.difinebla	certa	4	akkor_de	sicher	
cert.0a.difinebla	certa	4	ekz_19	gewiss	
cert.0a.difinebla	certa	4	akkor_de	gewiss	
cert.0a.nedubanta	certa	1	ekz_19	sicher	
cert.0a.nedubanta	certa	1	akkor_de	sicher	
cert.0a.nedubanta	certa	1	ekz_19	gewiss	
cert.0a.nedubanta	certa	1	akkor_de	gewiss	
cert.0a.nedubebla	certa	2	ekz_19	zweifelsfrei	
cert.0a.nedubebla	certa	2	akkor_de	zweifelsfrei	
cert.0a.nedubebla	certa	2	ekz_19	sicher	
cert.0a.nedubebla	certa	2	akkor_de	sicher	
cert.0a.nedubebla	certa	2	ekz_19	gewiss	
cert.0a.nedubebla	certa	2	akkor_de	gewiss	
cert.0a.sekura	certa	3	ekz_19	sicher	
cert.0a.sekura	certa	3	akkor_de	sicher	
cert.0a.sekura	certa	3	ekz_19	gewiss	
cert.0a.sekura	certa	3	akkor_de	gewiss	
cert.0e	certe		NULL	sicher	
cert.0e	certe		NULL	sicherlich	
cert.0e	certe		NULL	bestimmt	
cert.0e	certe		NULL	gewiss	
cert.0e.KOMUNE	certe		NULL	sicher	
cert.0e.KOMUNE	certe		NULL	sicherlich	
cert.0e.KOMUNE	certe		NULL	bestimmt	
cert.0e.KOMUNE	certe		NULL	gewiss	
cert.0eco	certeco		NULL	Gewissheit	
cert.0eco	certeco		NULL	Sicherheit	
cert.0eco.eco	certeco	2	NULL	Gewissheit	
cert.0eco.eco	certeco	2	NULL	Sicherheit	
cert.0eco.stato	certeco	1	NULL	Gewissheit	
cert.0eco.stato	certeco	1	NULL	Sicherheit	
cert.0igi	certigi		uv_C	sicherstellen	
cert.0igi.aserti	certigi	1	uv_C	versichern	
cert.0igi.aserti	certigi	1	uv_C	sicherstellen	
cert.0igi.sensxanceligi	certigi	2	uv_C	absichern	
cert.0igi.sensxanceligi	certigi	2	uv_C	sichern	
cert.0igi.sensxanceligi	certigi	2	uv_C	sicherstellen	
cert.0igi.sxako	certigi	3	uv_C	sicherstellen	
cert.mal0a	malcerta		NULL	unsicher	
cert.mal0a	necerta		NULL	unsicher	
cert.mal0a	malcerta		NULL	ungewiss	
cert.mal0a	necerta		NULL	ungewiss	
cert.mal0a.dubanta	malcerta	1	NULL	unsicher	
cert.mal0a.dubanta	necerta	1	NULL	unsicher	
cert.mal0a.dubanta	malcerta	1	NULL	ungewiss	
cert.mal0a.dubanta	necerta	1	NULL	ungewiss	
cert.mal0a.dubebla	malcerta	2	NULL	unsicher	
cert.mal0a.dubebla	necerta	2	NULL	unsicher	
cert.mal0a.dubebla	malcerta	2	NULL	ungewiss	
cert.mal0a.dubebla	necerta	2	NULL	ungewiss	
cert.mem0a	memcerta		NULL	selbstsicher	
cert.mem0a	memcerta		NULL	unverblümt	
cert.mem0a	memcerta		NULL	gerade	gerade heraus
cert.mem0a.PSI	memcerta		NULL	selbstsicher	
cert.mem0a.PSI	memcerta		NULL	unverblümt	
cert.mem0a.PSI	memcerta		NULL	gerade	gerade heraus
cert.tut0e	tutcerte		NULL	gewiss	ganz gewiss
cert.tut0e	tutcerte		NULL	todsicher	
ceruz.0o	ceruzo		NULL	Bleiweiß	
ceruz.0o.KEM	ceruzo		NULL	Bleiweiß	
cerv.0aro	cervaro		NULL	NULL	NULL
cerv.0o	cervo		NULL	Hirsch	
cerv.0o.ZOO	cervo		NULL	Hirsch	
cerv.norda0o	norda cervo		uv_C	Ren	
cerv.norda0o.ZOO	norda cervo		uv_C	Ren	
cerv.rugxa0o	ruĝa cervo		NULL	Rothirsch	
cerv.rugxa0o.ZOO	ruĝa cervo		NULL	Rothirsch	
cerved.0oj	cervedoj		NULL	Hirsche	
cervik.0o	cerviko		NULL	Hals	
cetac.0o	cetaco		NULL	NULL	NULL
cetac.0oj	cetacoj		NULL	Wale	
ceter.0a	cetera		ekz_35	übrig	
ceter.0a	cetera		ekz_35	restlich	
ceter.0e	cetere		NULL	übrigens	
ceter.0e	cetere		NULL	Übrigen	im Übrigen
ceter.0e	cetere		NULL	außerdem	
ceter.0e	cetere		NULL	beiläufig	beiläufig bemerkt
ceter.0o	cetero		NULL	Rest	
ceter.0o	cetero		NULL	Übriges	
ceter.kaj_0e	kaj cetere		NULL	et cetera	
cetoni.0o	cetonio		NULL	NULL	NULL
cetoni.0o.ZOO	cetonio		NULL	Rosenkäfer	Rosenkäfer (Gattung)
cezar.0o	Cezaro		NULL	Caesar	
cezar.0o.NOM	Cezaro	1	NULL	Caesar	
cezar.0o.PERS	Cezaro	3	NULL	Caesar	
cezar.0o.cognomen	Cezaro	2	NULL	Caesar	
cezar.0o.titolo	Cezaro	4	NULL	Caesar	
cezare.0o	Cezareo		NULL	Caesarea	
cezi.0o	cezio		NULL	Zäsium	
cezi.0o	cezio		NULL	Caesium	
cezi.0o	cezio		NULL	Cäsium	
cezur.0o	cezuro		NULL	Zäsur	
cezur.0o.HIS	cezuro	2	NULL	Zäsur	
cezur.0o.POE	cezuro	1	NULL	Zäsur	
ci.0	ci		ekz_16	du	
ci.0	ci		uv_C	du	
ci.0.KOMUNE	ci		ekz_16	du	
ci.0.KOMUNE	ci		uv_C	du	
ci.0a	cia		uv_C	dein	
ci.0a.unu	cia		uv_C	dein	
ci.0umi	ciumi		NULL	duzen	
ci.0umi.alparole	ciumi		NULL	duzen	
cian.0o	ciano		NULL	NULL	NULL
cian.0o.GAS	ciano	2	NULL	Dicyan	
cian.0o.RAD	ciano	1	NULL	Cyangruppe	
cibel.0o	Cibelo		NULL	Kybele	
cibet.0kato	cibetkato		NULL	Zibetkatze	
cibet.0o	cibeto		NULL	Zibet	
cibol.0o	cibolo		NULL	Schnittzwiebel	
cibol.0o	cibolo		NULL	Winterzwiebel	
cibol.0o.BOT	cibolo		NULL	Schnittzwiebel	
cibol.0o.BOT	cibolo		NULL	Winterzwiebel	
cibori.0o	ciborio		NULL	Ziborium	
